9.9753489,76.2861063,12,2,0
9.976136667,76.28612333,5,3,1
9.966197053,76.29630704,10,5,1
9.966197053,76.29630704,6,2,0
10.051969,76.315773,3,3,0
9.591441,76.522171,8,3,0
8.8932118,76.6141396,15,7,1
9.70838,76.684914,18,6,0
9.383452,76.574059,5,2,1
76.2374611,9.9637158,10,8,1
11.072035,76.074005,8,4,1
11.2587531,75.78041,2,2,0
11.41,76.699997,9,5,0
10.089167,77.059723,11,6,0
15.2993265,74.123996,4,3,1
12.29581,76.639381,7,7,1
10.530345,76.214729,13,8,1
9.498067,76.338844,9,5,0
10.784703,76.653145,2,2,1
9.968128753,76.31483039,1,1,0
